proteinID,ligandID,runID,affinity,rmsdLB,rmsdUB
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,0,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,1,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,2,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,3,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,4,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,5,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,6,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,7,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,8,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,9,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,10,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,0,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,1,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,2,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,3,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,4,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,5,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,6,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,7,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,8,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,9,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,10,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,0,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,1,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,2,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,3,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,4,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,5,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,6,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,7,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,8,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,9,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,10,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,0,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,1,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,2,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,3,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,4,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,5,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,6,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,7,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,8,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,9,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,10,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,0,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,1,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,2,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,3,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,4,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,5,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,6,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,7,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,8,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,9,-11.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,10,-11.3,0.000,0.000
7RDZ-no-extra,Mrv1909-01142022502D,0,-15.1,0.000,0.000
7RDZ-no-extra,Mrv1909-01142022502D,1,-15.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,0,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,1,-14.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,2,-14.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,3,-14.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,4,-14.0,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,5,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,6,-14.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,7,-14.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,8,-14.1,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,9,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,10,-14.2,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,0,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,1,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,2,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,3,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,4,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,5,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,6,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,7,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,8,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,9,-12.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,10,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,0,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,1,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,2,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,3,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,4,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,5,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,6,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,7,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,8,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,9,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,10,-12.3,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,0,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,1,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,2,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,3,-12.3,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,4,-12.3,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,5,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,6,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,7,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,8,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,9,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718006121812052D,10,-12.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,0,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,1,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,2,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,3,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,4,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,5,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,6,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,7,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,8,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,9,-14.2,0.000,0.000
7RDZ-zinc,Mrv1718005171816422D,10,-14.2,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,0,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,1,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,2,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,3,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,4,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,5,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,6,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,7,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,8,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,9,-13.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211600112D-1704021546740,10,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,0,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,1,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,2,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,3,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,4,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,5,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,6,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,7,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,8,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,9,-14.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604462D,10,-14.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,0,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,1,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,2,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,3,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,4,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,5,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,6,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,7,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,8,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,9,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,10,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,0,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,1,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,2,-13.2,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,3,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,4,-13.2,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,5,-13.2,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,6,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,7,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,8,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,9,-13.2,0.000,0.000
7RDZ-no-extra,Mrv1718006121812052D,10,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,0,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,1,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,2,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,3,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,4,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,5,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,6,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,7,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,8,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,9,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601272D-1704021547068,10,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,0,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,1,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,2,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,3,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,4,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,5,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,6,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,7,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,8,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,9,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,10,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,0,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,1,-12.8,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,2,-12.6,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,3,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,4,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,5,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,6,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,7,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,8,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,9,-12.7,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,10,-12.7,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,0,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,1,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,2,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,3,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,4,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,5,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,6,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,7,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,8,-12.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,9,-12.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211600172D,10,-12.8,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,0,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,1,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,2,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,3,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,4,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,5,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,6,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,7,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,8,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,9,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211601272D-1704021547068,10,-12.9,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,0,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,1,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,2,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,3,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,4,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,5,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,6,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,7,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,8,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,9,-12.3,0.000,0.000
7RDZ-zinc,Mrv1652310211602442D-1704021547279,10,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,0,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,1,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,2,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,3,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,4,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,5,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,6,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,7,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,8,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,9,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1652310211601282D,10,-11.8,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,0,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,1,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,2,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,3,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,4,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,5,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,6,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,7,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,8,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,9,-12.5,0.000,0.000
7RDZ-no-extra,Mrv1718007201812002D,10,-12.5,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,0,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,1,-13.4,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,2,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,3,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,4,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,5,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,6,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,7,-13.2,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,8,-13.2,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,9,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211601282D,10,-13.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,0,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,1,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,2,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,3,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,4,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,5,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,6,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,7,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,8,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,9,-14.3,0.000,0.000
7RDZ-zinc,Mrv1718009221814542D,10,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,0,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,1,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,2,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,3,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,4,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,5,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,6,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,7,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,8,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,9,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211600202D-1704021546784,10,-12.3,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,0,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,1,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,2,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,3,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,4,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,5,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,6,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,7,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,8,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,9,-12.0,0.000,0.000
7RDZ-no-extra,Mrv1652310211602442D-1704021547279,10,-12.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,0,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,1,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,2,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,3,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,4,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,5,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,6,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,7,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,8,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,9,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600112D-1704021546740,10,-13.0,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,0,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,1,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,2,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,3,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,4,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,5,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,6,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,7,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,8,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,9,-13.1,0.000,0.000
7RDZ-zinc,Mrv1652310211600202D-1704021546784,10,-13.1,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,0,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,1,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,2,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,3,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,4,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,5,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,6,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,7,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,8,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,9,-14.3,0.000,0.000
7RDZ-no-extra,Mrv1718009221814542D,10,-14.3,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,0,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,1,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,2,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,3,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,4,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,5,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,6,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,7,-11.8,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,8,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,9,-11.9,0.000,0.000
7RDZ-zinc,Mrv1652310211600172D,10,-11.9,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,0,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,1,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,2,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,3,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,4,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,5,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,6,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,7,-13.2,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,8,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,9,-13.3,0.000,0.000
7RDZ-no-extra,Mrv1718005171816422D,10,-13.3,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,0,-14.1,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,1,-14.2,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,2,-14.1,0.000,0.000
7RDZ-zinc,Mrv1652310211604252D-1704021547515,3,-14.2,0.000,0.000
