,ID,SMILES
0,PV-010028456714,N#CC1=C(NC(=O)C2=CC(=O)C3=CC(F)=CC=C3O2)C=CN(C2=CC=CC=C2)C1=O
1,PV-007305266855,O=C(NC1=CC=C(C2=CNC(=O)N2)C=C1)C1=CC=C(C(=O)C2=CC(O)=CC=C2)C=C1
2,Z1929573148,O=C(NC1=C(C(F)F)N(C2=CC=NC=C2)N=C1)C1=CN(C2=CC=C(F)C=C2)C(=O)C=C1
3,PV-009314025122,O=C(NC1=CC=CC(CC2=CC=CC=N2)=N1)C1=CN(C2=CC=C(F)C=C2)C(=O)C=C1
4,PV-008874501304,COC1=CC=C(C2=CC=NC=C2)C=C1C1=CC=C(C(=O)CC2=NNC(=O)C=C2)C=C1
5,Z1318776519,COC1=C(C(=O)NC2=CC=C(NC(=O)C3=CC=CC=C3)N=C2)C=NC2=CC=CC=C12
6,PV-007655234233,O=C(OCC1=CC=CC=C1)C1=CC(NC(=O)C2=CC=C3C=CN=C(O)C3=N2)=CC=C1
7,Z1161336926,O=C(CN1C=CC(=O)C2=CC=CC=C21)NCC1=CC(OC2=CC(F)=CC=C2)=CC=N1
8,Z7693897789,O=C(NCC1=CC2=CC=CC=C2NC1=O)C1=CC=C(OC2=CC=C(F)C=C2)C=N1
9,Z7775813870,COC1=CC=C(F)C=C1C1=CN=CC(CN2C=NC3=C(F)C(F)=CC=C3C2=O)=C1
10,PV-008712061352,N#CC1=CC(COC2=CC=C(NC(=O)C3=CC=CC4=C3C=NNC4=O)C=C2)=CC=C1
11,Z7580284247,O=C(NC1=CC(CC2=CC=CC=C2)=CC=N1)C1=CC=C(C2=NNC(=O)C=C2)C=C1
12,Z806835684,CC1=NN(C2=CC=CC=C2)N=C1C(=O)N(CC(N)=O)CC1=CC=C(C2=CC=CC=C2)C=C1
13,PV-002094162608,O=C(NCC1=CC=C(NC(=O)C2=CC=CC=C2O)C=C1)C1=CN=C2C=CC=NC2=C1
14,PV-008842879415,CC1=CC(C(=O)NC2=CC=CN(C3=CC=CC=C3)C2=O)=NN1C1=CC=CC=C1F
15,PV-009335036499,O=C(NC1=CC=C2C(=O)NC(=O)NC2=N1)C1=CC(C2=C(F)C=CC=C2F)=CC=C1
16,PV-007605700838,CN1C(C(=O)NC2=C(CC3=CC=CC=C3)NN=C2)=CC=C1C(=O)C1=CC=CC=C1F
17,PV-008193338632,O=C(NCC1=CC=NN1CC1=CC=CC=C1)C1=CN(C2=CC=CC=C2F)C(=O)C=C1
18,PV-009921063577,O=C(NC1=CC=C(OCC2=CN=CC=N2)C=C1)C1=CC=CC(C2=NNC(=O)C=C2)=C1
19,PV-008259638405,COC1=CC=C(C(NC(=O)C2=CC=NN2C2=CC=CN=C2)C2=CC=C(F)C=C2)C=C1
20,Z7627100012,O=C(NC1=CC=C(NC(=O)C2=CC=C3NC=CC3=C2F)C=N1)C1=CC(O)=CC=C1
21,PV-009791000503,NCC(NC(=O)C1=NN(C2=CC=CC=C2F)C=CC1=O)C1=CC=C2C=CC=CC2=C1
22,PV-005472149470,O=C(NC1=CC=C(C2=CC=NC=C2)N=C1)C1=CC=C(C(=O)C2=CNC=C2)C=C1
23,Z1335708531,O=C(NCC1=CC=C(N2C=NC=N2)N=C1)NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1
24,PV-009775228351,N#CC1=C(NC(=O)C2=CN=CC(C3=COC=C3)=C2)C=CN(C2=CC=CC=C2)C1=O
25,Z7572015662,O=C(NC(C(=O)CC1=CC=CC=C1)C1=CC=CC=C1)C1=CC=C2C(=O)NC=CC2=N1
26,PV-004266662728,O=C(NCC1=CN=C(C2=CC=CC=C2)C=N1)C1=CN=C2C(F)=CC=C(F)C2=C1
27,Z1175567168,CN(CCOC1=CC=CC(C#N)=C1)C(=O)C1=CC=CC(COC2=CC=CC=C2C(N)=O)=C1
28,PV-007603842847,COC1=CC=C(NC(=O)C2=NN=C(C3=CC=CC=N3)N2)C=C1C(=O)C1=CC=CC=C1
29,PV-007057072370,O=C(NCC1=CC=C(C2=CC=NC=C2)N=C1)C1=CN=C2C(F)=CC=C(F)C2=C1
30,Z1161340157,CCOC1=CC=C(N2N=CC(C(=O)NCC3=CC(OC4=CC=CC(F)=C4)=CC=N3)=C2C)N=N1
31,PV-009005494358,O=C(NC1=NC(C2=CC(F)=CC(F)=C2)=CC=N1)C1=CN=CC(N2C=CC=C2)=C1
32,Z3336726966,CC1=NC2=CC(C(=O)NCC3=CC=C(C4=CC=CC=C4)C=C3F)=CC=C2C(=O)N1
33,Z2212544874,O=C(NC1=CC=CC=C1C(=O)NCC1=CC=CC=C1)C1=CC=NC(C2=NNC=C2)=C1
34,PV-007634316905,N#CCN1C=C(NC(=O)C2=CC3=CC=C(OCC4=CC=CC=C4)C=C3N2)C=CC1=O
35,PV-007976519341,COC1=CC=C(N2C=CC(C(=O)NCC3=CC=C(C4=CNC(=O)C=C4)C=C3)=N2)C=C1
36,PV-009027207269,O=C(NC1=CC(NC(=O)C2=CC=CC(F)=C2C(F)F)=CC=C1)C1=CC=CC(=O)N1
37,PV-006498350391,N#CC1=CC(C2=CC(C3=NN(C4=CC=CC=N4)C=C3C(=O)O)=CC=C2)=CC=C1O
38,PV-009268470253,COC1=CC=CC(C2=CC=C(C(=O)NCC3=CC=C(C4=NC=CN4)C=C3)C(O)=N2)=C1
39,PV-005883648731,CC1=CC=C2N=CC(COC(=O)C3=NN(C4=CC=CC=C4F)C=CC3=O)=CC2=C1
40,PV-009011934443,O=C(NC1=CC2=CC=CC=C2C(=O)N1)C1=CC(C2=CC=CC=N2)=CC(F)=C1
41,Z1533934381,O=C(NCC1=CC(OC2=CC=C(F)C(F)=C2)=CC=N1)C1=NC(OCC(F)F)=CC=C1
42,PV-007709006181,O=C(CN(C(=O)C1=NN=C(C2=CC=CC=C2)N1)C1=CC=CC=C1)NC1=CC=CC=C1
43,PV-009586110144,CC1=CC=C(OC2=CC=C(NC(=O)C3=CC=CC(C4=NNC(=O)C=C4)=C3)C=C2)N=N1
44,PV-009532297721,N#CC1=C(NC(=O)CSC2=CC=C(F)C(F)=C2)C=CN(C2=CC=CC=C2)C1=O
45,Z7607036406,O=C(NC1=CC=CC=C1NC(=O)C1=CC=C2C=CC=CC2=N1)C1=CC(CO)=CN=C1
46,PV-005165249398,N#CC1=CC=CC=C1SC1=CC=C(NC(=O)C2=CC3=CC=CN3C(=O)N2)C=C1
47,PV-007575490813,O=C(NCC1=NN=C(C2=CC=CC=C2)O1)C1=CC(C2=C(F)C=C(F)C=C2F)=NO1
48,PV-005488049868,O=C(NCC1=CC=NC(OC2=CC=CC=C2F)=C1)C1=CC=C(C2=NC=NO2)C=C1
49,PV-010093486392,O=C(NC1=CC=NC(COC2=CC=CC=C2)=N1)C1=CC=C(N2C=CN=C2)C(F)=C1
50,PV-006320577347,NCC1=CC=C(C2=CC=CC=C2C(=O)NC2=CC=C(N3C=CNC3=O)C=C2)C=C1
51,Z7657347264,CC1=CC=NC(C2=CC=CC(NC(=O)C3=CN(C4=C(F)C=CC=C4F)N=N3)=C2)=N1
52,PV-005713277795,O=C(OCC1=CC(C2=CC=CN=C2)=CC(F)=C1)C1=CC=NN1C1=CC=NC=C1
53,PV-007690242491,O=C(O)C1=CN=C2N=C(NC(=O)C3=CC=CC=C3C(O)C3=CC=CC=C3)C=CC2=C1
54,PV-009517386941,CN1C(=O)C=CC2=CC=C(NC(=O)NCC3=CC=C(C4=CNC(=O)C=C4)C=C3)C=C21
55,Z7586493067,CC1=CC=C(N2C=CC(CNC(=O)C3=CC(=O)C4=CC(F)=CC(F)=C4N3)=N2)C=C1
56,Z7753419122,COC(=O)C1=CC2=NC(NC(=O)C3=CC=C(C4=CC=CC=C4C#N)C=C3)=NN2C=C1
57,PV-007945365957,O=C(NC1=CC=C(C2=NOC(C(F)(F)F)=C2)C=C1)C1=CC2=CC=CN=C2NC1=O
58,PV-009508648555,CC1=NN(C2=CC=CC(NC(=O)NCC3=CC=C(C4=CNC(=O)C=C4)C=C3)=C2)C=C1
59,PV-009978095477,COC1=CC=C2N=C(C3=CC=CC=C3)C=C(C(=O)N(C)C3=CC=CN(C)C3=O)C2=C1
60,PV-008379215047,O=C(NC1=CN(C2=CC=C(C(F)(F)F)C=C2)N=C1)C1=NN(C2=CC=CN=C2)C=C1
61,Z7578913829,CN(CC1=CC=CC=C1OCC1=CC=CC=C1)C(=O)C1=CC(=O)N2C=CC=CC2=N1
62,PV-008046191398,O=C(NC(C(=O)O)C1=CC=CC(C2=CC=NC=C2)=C1)C1=CC=CC2=NC(O)=CC=C12
63,PV-005557807793,COC(=O)C1=CC=C2NC=C(C(=O)CN3C=C(C4=CC=C(F)C(F)=C4)C=N3)C2=C1
64,PV-008470863751,O=C(NCC1=C(C2=CC=C(F)C=C2F)OC=N1)C1=NN(C2=CC=CC=C2)C=C1O
65,PV-007242321437,CC1=CC=CC(C2=NC=CC(NC(=O)C3=CN(CC4=CC=CC=C4)C(=O)C=C3)=N2)=N1
66,PV-006796270337,CC1=CC=C2N=C(C3=CC=CC=C3)C=C(C(=O)NCC3=C(O)C(O)=CC=N3)C2=C1
67,PV-006895883504,CN1C(=O)C=CN(CC(=O)NC2=CC=CC=C2C2=CC=C3C=CC=CC3=C2)C1=O
68,PV-007309725951,O=C(NC1=CN(CC2=CC=C(F)C=C2F)C(=O)C=C1)C1=CC=CC2=C1C(=O)NN2
69,PV-009064831947,C=C1C2=CC=CC=C2C(=O)N1CC(=O)NC1=C(C#N)C(=O)N(C2=CC=CC=C2)C=C1
70,Z7605884527,CN1C=C(C2=CC=CC(C(=O)NC3=CC=C(OC4=CC=CC=C4C#N)N=C3)=N2)C=N1
71,PV-009640752848,O=C(CC1=CC=C(OCC2=CC=C(F)C=C2)C=C1)NC1=NC=CC2=NC=NC=C12
72,Z7706462627,O=C(C1=CC=C(F)C(F)=C1)C1=CC=CC=C1C(=O)N1CC2=CC(F)=CN=C2C1
73,PV-008598520616,CN(CC1=CC=C(C(=O)NC2=CN=C(C3=NC=CC=N3)N=C2)C=C1)C1=CC=CC=C1
74,Z7689830263,O=C(NC1=CC(C2=CC=NC=C2)=CNC1=O)C1=CC=C(N2C=CN=C2)C(F)=C1
75,Z7624338980,CN(C(=O)C1=CC=C(N2C=NC3=CC=CC=C3C2=O)C=C1)C1=CN=CC(C#N)=C1
76,PV-004897702415,O=C(N[C@@H](CCO)C1=CC=C(C2=CC=CC=C2)C=C1)C1=C(F)N2C=CC=CC2=N1
77,Z7600000915,O=C(CC1=CC=CC=C1OC1=CC=NC=C1)NCC1=CC=C(C2=NC=CN2)C=C1
78,PV-006779710594,O=C(NCC1=C(F)C=C(O)C=C1F)C1=CC=C(NC(=O)C2=CC=CC=C2)C=C1
79,PV-009186631868,COC1=CC=CC2=C1OC=C2C(=O)NC1=C(C#N)C(=O)N(C2=CC=CC=C2)C=C1
80,Z7654500592,CN1C=NN=C1C1=NC=CC=C1C(=O)NC1=CC=C(OC2=CC=CC=C2C#N)C=C1
81,PV-006095842881,O=C(NCC1=CC=CC(C2=CC=CO2)=C1)C1=CNC(=O)N(C2=CC=CC=C2)C1=O
82,PV-007719945015,CSC1=CC=CC(C(O)C2=CC=CC(C3=CC=C4OC(=O)NC(=O)C4=C3)=C2)=C1
83,PV-004952867097,O=C(NC1=CN(CC2=CC(F)=CC=C2)C(=O)C=C1)C1=CC=CC2=C1C=NNC2=O
84,PV-007344681859,CC1=CC=C2C(O)=C(C(=O)NCCC3=CC=NC(OC4=CC=CC=C4)=C3)C=NC2=N1
85,PV-004872454408,O=C(O)C1=CN=C2N=C(NC(=O)C3=CC(C4=CC=CC=N4)=CC(F)=C3)C=CC2=C1
86,Z7765146102,CC1=CC=CN=C1OC1=CC=C(C(=O)NCCC2=CN(C3=CC=CC=C3)N=N2)C=C1
87,Z1223980906,N#CC1=CN(CCNC(=O)NCC2=CN(C3=CC=CC=C3)N=C2C2=CC=C(F)C=C2)N=C1
